State,Year,CO2_Balances,Energy_Consumption
Niedersachsen,2006,12830,285994.2239
Niedersachsen,2007,12922,285600.8005
Niedersachsen,2008,13014,285207.3771
Niedersachsen,2009,11922,265791.514
Niedersachsen,2010,12770,291183.6873
Niedersachsen,2011,12794,289767.6804
Niedersachsen,2012,12147,284082.3952
Niedersachsen,2013,11700,272577.4207
Niedersachsen,2014,11309,265408.9444
Niedersachsen,2015,10155,260231.5774
Niedersachsen,2016,10743,266980.7031
Niedersachsen,2017,10665,265407.4184
Niedersachsen,2018,12347,285899.4018
Niedersachsen,2019,12253,281261.9591
Niedersachsen,2020,11527,267116.3313
Niedersachsen,2021,12439,284185.6497
Niedersachsen,2022,11662,260191.9763
Nordrhein-Westfalen,1990,55678,981929.953
Nordrhein-Westfalen,1991,53267,951072.257
Nordrhein-Westfalen,1992,51387,924224.577
Nordrhein-Westfalen,1993,48841,889808
Nordrhein-Westfalen,1994,48898,900957.2006
Nordrhein-Westfalen,1995,48729,884649.166
Nordrhein-Westfalen,1996,47006,881794.565
Nordrhein-Westfalen,1997,48343,910743.4
Nordrhein-Westfalen,1998,46364,884649.5
Nordrhein-Westfalen,1999,42716,838700.497
Nordrhein-Westfalen,2000,43460,841240.99
Nordrhein-Westfalen,2001,40775,818398.643
Nordrhein-Westfalen,2002,41265,808821.411
Nordrhein-Westfalen,2003,38146,832574.96
Nordrhein-Westfalen,2004,40329,856195.205
Nordrhein-Westfalen,2005,33516,773971.451
Nordrhein-Westfalen,2006,34877,782362.042
Nordrhein-Westfalen,2007,39880,888404.031
Nordrhein-Westfalen,2008,40156,856832.09
Nordrhein-Westfalen,2009,33262,725985.356
Nordrhein-Westfalen,2010,42127,884692.3311
Nordrhein-Westfalen,2011,37591,852245.4595
Nordrhein-Westfalen,2012,35328,816009.4708
Nordrhein-Westfalen,2013,32681,762999.4921
Nordrhein-Westfalen,2014,32596,754319.7707
Nordrhein-Westfalen,2015,34929,752142.1258
Nordrhein-Westfalen,2016,35330,786747.7749
Nordrhein-Westfalen,2017,33049,755757.065
