State,Year,Forecasted_Energy_Consumption,CO2_Predicted_from_Historical,CO2_Predicted_from_BAU,t45_electricity,t45_hydrogen,t45_red_eff,Remaining_Energy_Consumption_t45_electricity,Remaining_Energy_Consumption_t45_hydrogen,Remaining_Energy_Consumption_t45_red_eff
Baden-Wuttemberg,2037.0,227234.17,6783.6,6610.6313,29514.72043702013,75164.15471,31875.89807198174,197719.4495629799,152070.01529,195358.27192801828
Bayern,2037.0,244359.97,7732.586,7814.1577,25692.15119225201,65429.34503626846,27747.523287632175,218667.818807748,178930.62496373153,216612.44671236782
Berlin,2037.0,19922.217,616.10077,503.9926,1495.0518791685784,3807.3987856159792,1614.6560295020645,18427.16512083142,16114.81821438402,18307.560970497936
Brandenburg,2037.0,99153.72,5158.6216,4988.0947,13936.012160434884,35490.37763524084,15050.893133269676,85217.70783956512,63663.34236475916,84102.82686673032
Bremen,2037.0,51767.613,2736.8208,2552.9236,5657.096435949327,14406.738923550954,6109.664150825274,46110.51656405067,37360.87407644904,45657.948849174725
Hamburg,2037.0,32792.004,841.70245,814.8508,3693.5428510598463,9406.222460699077,3989.0262791446344,29098.461148940154,23385.781539300922,28802.977720855368
Hessen,2037.0,117170.32,3758.6536,3688.4417,15032.450580911976,38282.64081272249,16235.046627384932,102137.86941908803,78887.6791872775,100935.27337261508
Niedersachsen,2037.0,270594.84,11415.056,11328.058,37574.42076,95689.52488,40580.374424856695,233020.41924000002,174905.31512000004,230014.46557514335
Nordrhein-Westfalen,2037.0,693002.94,32310.803,30559.465,68189.19641,173655.15353366706,73644.33212684309,624813.74359,519347.78646633285,619358.6078731569
Rheinland-Pfalz,2037.0,145255.45,4825.312,4690.9644,20793.82219152788,52954.93384775767,22457.32796685011,124461.62780847213,92300.51615224234,122798.1220331499
Sachsen,2037.0,107961.13,4511.7544,4488.0723,13863.091102029104,35304.67200650079,14972.138390191434,94098.0388979709,72656.4579934992,92988.99160980857
Sachsen-Anhalt,2037.0,143895.06,6547.01,5816.954,20151.078676715555,51318.08036336894,21763.16497,123743.98132328445,92576.97963663106,122131.89503
Schleswig-Holstein,2037.0,53123.56,2192.672,2140.3782,6124.344724603424,15596.664565323386,6614.292302571697,46999.21527539657,37526.89543467661,46509.2676974283
Thuringen,2037.0,68342.42,2841.248,2815.3652,8283.020591,21094.092437974006,8945.662238093688,60059.399409,47248.327562025996,59396.75776190631
Baden-Wuttemberg,2045.0,229140.6,6875.392,6692.4185,113730.05608398424,171972.43774637062,123961.82583548456,115410.54391601577,57168.16225362939,105178.77416451545
Bayern,2045.0,250288.38,7863.8945,7931.631,99000.42259414442,149699.60094685506,107907.03500745846,151287.9574058556,100588.77905314494,142381.34499254153
Berlin,2045.0,20766.906,640.97705,522.26215,5760.933241062921,8711.168949288916,6279.217892508029,15005.972758937078,12055.737050711083,14487.68810749197
Brandenburg,2045.0,101895.29,5273.63,5084.502,53700.10019154242,81200.49752146726,58531.25107382652,48195.18980845757,20694.792478532734,43364.038926173474
Bremen,2045.0,52922.27,2796.3076,2599.7273,21798.678266524745,32962.01523346475,23759.805030987176,31123.591733475252,19960.254766535247,29162.46496901282
Hamburg,2045.0,33399.043,854.4689,825.16406,14232.451786083942,21521.043012175374,15512.879974451356,19166.591213916057,11877.999987824624,17886.16302554864
Hessen,2045.0,118840.086,3823.5774,3739.6326,57925.04290511414,87589.07871811377,63136.29243983029,60915.043094885856,31251.007281886225,55703.7935601697
Niedersachsen,2045.0,271984.22,11508.766,11404.753,144786.7680096739,218933.62498348617,157812.56720777604,127197.45199032608,53050.595016513806,114171.65279222393
Nordrhein-Westfalen,2045.0,712256.06,32884.93,31048.227,262755.7035,397315.7177707461,286394.62493772316,449500.35650000005,314940.34222925396,425861.4350622769
Rheinland-Pfalz,2045.0,147004.28,4881.6665,4738.0293,80125.52817802076,121158.67063596912,87334.0532,66878.75182197924,25845.609364030883,59670.226800000004
Sachsen,2045.0,112950.875,4671.5825,4632.329,53419.11104648549,80775.61082115625,58224.98262852224,59531.76395351451,32175.264178843747,54725.89237147776
Sachsen-Anhalt,2045.0,150806.22,6801.9556,6025.895,77648.82316761061,117413.61842299596,84634.53044220533,73157.3968323894,33392.60157700404,66171.68955779467
Schleswig-Holstein,2045.0,54081.715,2230.6243,2175.3337,23599.141672138525,35684.515262022614,25722.24784333438,30482.57332786147,18397.199737977382,28359.467156665618
Thuringen,2045.0,71426.78,2932.2896,2907.4043,31917.23934332193,48262.39997588817,34788.68648147545,39509.54065667807,23164.38002411183,36638.09351852455
