State,Year,Forecasted_Energy_Consumption,CO2_Predicted_from_Historical,CO2_Predicted_from_BAU,t45_electricity,t45_hydrogen,t45_red_eff,Remaining_Energy_Consumption_t45_electricity,Remaining_Energy_Consumption_t45_hydrogen,Remaining_Energy_Consumption_t45_red_eff,Remaining_CO2_Balance_t45_electricity,Remaining_CO2_Balance_t45_hydrogen,Remaining_CO2_Balance_t45_red_eff
Rheinland-Pfalz,2037.0,142246.05,4582.231,5209.056,20793.82219152788,52954.93384775767,22457.32796685011,121452.2278084721,89291.11615224232,119788.72203314988,4911.4497,4839.304,4907.3906
Sachsen,2037.0,97998.65,4090.347,2484.6301,13863.091102029104,35304.67200650079,14972.138390191434,84135.55889797088,62693.977993499204,83026.51160980856,5148.424,5097.98,5145.726
Sachsen-Anhalt,2037.0,140166.25,5748.2734,4243.4336,20151.078676715555,51318.08036336894,21763.16497,120015.17132328445,88848.16963663106,118403.08503000002,2513.6968,2396.9321,2507.479
Schleswig-Holstein,2037.0,51941.69,2038.8081,2141.6975,6124.344724603424,15596.664565323386,6614.292302571697,45817.345275396576,36345.025434676616,45327.39769742831,1694.6417,1651.4137,1692.3384
Thuringen,2037.0,62627.113,2461.8794,2919.5603,8283.020591,21094.092437974006,8945.662238093688,54344.092409,41533.020562025995,53681.45076190631,2264.3005,2229.3506,2262.4287
Baden-Wuttemberg,2045.0,220461.23,6411.721,6664.2476,113730.05608398424,171972.43774637062,123961.82583548456,106731.17391601577,48488.79225362939,96499.40416451546,7215.157,7373.68,7232.7954
Bayern,2045.0,239071.8,7318.096,8411.266,99000.42259414442,149699.60094685506,107907.03500745846,140071.37740585557,89372.19905314494,131164.76499254152,7067.2896,6908.27,7038.6494
Berlin,2045.0,20137.318,512.1012,557.7943,5760.933241062921,8711.168949288916,6279.217892508029,14376.384758937076,11426.149050711083,13858.10010749197,557.1705,554.07764,556.6085
Brandenburg,2045.0,93758.914,4535.539,3705.2554,53700.10019154242,81200.49752146726,58531.25107382652,40058.813808457584,12558.416478532743,35227.662926173485,4466.7993,4421.35,4453.4263
Bremen,2045.0,50923.004,2452.1716,2704.5688,21798.678266524745,32962.01523346475,23759.805030987176,29124.325733475256,17960.98876653525,27163.198969012825,1815.7974,1768.4266,1806.7633
Hamburg,2045.0,31576.611,780.60077,788.2277,14232.451786083942,21521.043012175374,15512.879974451356,17344.159213916057,10055.567987824626,16063.731025548645,749.33453,735.19147,746.7443
Hessen,2045.0,117480.3,3485.0715,3327.7056,57925.04290511414,87589.07871811377,63136.29243983029,59555.25709488586,29891.221281886228,54344.00756016971,3214.3687,3218.5273,3211.3552
Niedersachsen,2045.0,269921.25,11183.08,11849.2,144786.7680096739,218933.62498348617,157812.56720777604,125134.48199032611,50987.625016513826,112108.68279222396,11030.545,11716.421,11132.954
Nordrhein-Westfalen,2045.0,697907.06,29676.498,35011.945,262755.7035,397315.7177707461,286394.62493772316,435151.35650000005,300591.34222925396,411512.4350622769,30435.434,29670.883,30299.613
Rheinland-Pfalz,2045.0,142300.39,4600.734,5085.425,80125.52817802076,121158.67063596912,87334.0532,62174.86182197926,21141.719364030894,54966.33680000002,4653.585,4638.403,4648.047
Sachsen,2045.0,98553.62,4120.4424,2070.0664,53419.11104648549,80775.61082115625,58224.98262852224,45134.50895351451,17778.009178843742,40328.63737147776,4707.1494,4644.1777,4695.6035
Sachsen-Anhalt,2045.0,140957.67,5825.51,3548.5627,77648.82316761061,117413.61842299596,84634.53044220533,63308.846832389405,23544.05157700405,56323.13955779468,1664.8301,1530.4797,1640.3036
Schleswig-Holstein,2045.0,51897.188,2045.8296,2044.8356,23599.141672138525,35684.515262022614,25722.24784333438,28298.046327861477,16212.672737977387,26174.940156665623,1500.7336,1447.5016,1491.4989
Thuringen,2045.0,63044.156,2480.139,2701.768,31917.23934332193,48262.39997588817,34788.68648147545,31126.916656678073,14781.756024111834,28255.46951852455,1953.911,1911.1523,1946.0547
